Acronym,Name
CEPE ,"Conselho de Ensino, Pesquisa e Extensão"
CEG,Câmara de Ensino de Graduação 
CEX ,Câmara de Extensão 
CPP,Câmara de Pesquisa e Pós-Graduação 
CCD,Câmara da Carreira Docente 
CAD ,Conselho de Administração
CAC,Câmara de Assuntos Comunitários
CGP,Câmara de Gestão de Pessoas
CPLAD ,Câmara de Planejamento e Administração
CAPRO,"Câmara de Projetos, Convênios, Contratos e Instrumentos Correlatos 
"
CDH,Câmara de Direitos Humanos 
VRT,Vice-Reitoria
OUV,Ouvidoria
PF,Procuradoria Federal junto à Universidade de Brasília
AUD,Auditoria
AAMC,Assessoria de Acompanhamento e Mediação de Conduta 
GRE,"Gabinete da Reitora
"
PRC,Prefeitura da UnB
INFRA,Secretaria de Infraestrutura
SEMA,Secretaria de Meio Ambiente da Universidade de Brasília
SPI,Secretaria do Patrimônio Imobiliário
DEG,Decanato de Ensino de Graduação
DAIA,Diretoria de Acompanhamento e Integração Acadêmica
DIEG,Diretoria de Inovação para o Ensino de Graduação
DTG,Diretoria Técnica de Graduação
DAPLI  Diretoria de Planejamento e Acompanhamento Pedagógico das Licenciaturas,Diretoria de Planejamento e Acompanhamento Pedagógico das Licenciaturas
DEX,Decanato de Extensão
DTE,Diretoria Técnica de Extensão
DDIS,Diretoria de Integração Social e Desenvolvimento Social
DDC,Diretoria de Difusão Cultural
DPG,Decanato de Pós-Graduação
DIRIC,Diretoria de Fomento à Iniciação Científica
DIRPG,Diretoria de Pós-Graduação
DPI,Decanato de Pesquisa e Inovação
DIRPE,Diretoria de Pesquisa
DPA,Diretoria de Apoio a Projetos Acadêmicos
CDT,Diretoria do Núcleo de Inovação Tecnológica/Centro de Apoio ao Desenvolvimento Tecnológico
DAC,Decanato de Assuntos Comunitários
DDS,Diretoria de Desenvolvimento Social
DEAC,Diretoria de Esporte e Atividades Comunitárias
DASU,Diretoria de Atenção à Saúde da Comunidade Universitária
DRU,Diretoria do Restaurante Universitário
DACES,Diretoria de Acessibilidade
DGP,Decanato de Gestão de Pessoas
DCADE,"Diretoria de Capacitação, Desenvolvimento e Educação"
DAP,Diretoria de Administração de Pessoas
DSO,Diretoria de Saúde e Segurança Ocupacional
DPAM,"Diretoria de Provimento, Acompanhamento e Movimentação"
DAF,Decanato de Administração
DIMEX,Diretoria de Importação e Exportação
DACP,Diretoria de Análise e Conformidade Processual
DGM,Diretoria de Gestão de Materiais
DCF,Diretoria de Contabilidade e Finanças
DCO,Diretoria de Compras
DCA,Diretoria de Contratos Administrativos
DPO,"Decanato de Planejamento, Orçamento e Avaliação Institucional"
DPL,Diretoria de Planejamento
DOR,Diretoria de Orçamento
DPR,Diretoria de Processos Organizacionais
DAI,Diretoria de Avaliação e Estatísticas Institucionais
BCE,Biblioteca Central
STI,Secretaria de Tecnologia da Informação
EDU,Editora Universidade de Brasília
FAL,Fazenda Água Limpa
HUB,Hospital Universitário
ACE,Arquivo Central
PCTec,Parque Científico e Tecnológico da Universidade de Brasília
UnB-TV,Rádio e Televisão Universitárias
CEAD,Centro de Educação a Distância e Tecnologias Educacionais
SAA,Secretaria de Administração Acadêmica
SECOM,Secretaria de Comunicação
INT,Secretaria de Assuntos Internacionais
CERI,Coordenação do Cerimonial
SOC,Secretaria de Órgãos Colegiados
SDH,Secretaria de Direitos Humanos
CRAD,Centro de Referência em Conservação da Natureza e Recuperação de Áreas Degradadas
CEAM,Centro de Estudos Avançados Multidisciplinares
CET,Centro de Excelência em Turismo
CER,UnB Cerrado
CIBH,Centro Internacional de Bioética e Humanidades
CDS,Centro de Desenvolvimento Sustentável
CCOM,"Centro de Políticas, Direito, Economia e Tecnologias das Comunicações"
FGA,Faculdade do Gama
FACE,"Direção da Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas"
GPP,Departamento de Gestão de Políticas Públicas
ADM,Departamento de Administração
CCA,Departamento de Ciências Contábeis e Atuariais
ECO,Departamento de Economia
CIORD,Centro Integrado de Ordenamento Territorial
CEIGES,"Centro de Estudos, Desenvolvimento e Inovação da Gestão em Saúde"
FCE,Faculdade de Ceilândia
FAU,Faculdade de Arquitetura e Urbanismo
PRO,"Departamento de Projeto, Expressão e Representação em Arquitetura e Urbanismo"
TEC,Departamento de Tecnologia em Arquitetura e Urbanismo
THAU,Departamento de Teoria e História em Arquitetura e Urbanismo
CPAB,Centro de Pesquisa e Aplicação de Bambu e Fibras Naturais
FAV,Faculdade de Agronomia e Medicina Veterinária
FAC,Faculdade de Comunicação
DAP,Departamento de Audiovisuais e Publicidade
JOR,Departamento de Jornalismo
COM,Departamento de Comunicação Organizacional
FCI,Faculdade de Ciência da Informação
FD,Faculdade de Direito
FE,Faculdade de Educação
MTC,Departamento de Métodos e Técnicas
PGE,Departamento de Políticas Públicas e Gestão da Educação
TEF,Departamento de Teoria e Fundamentos
FEF,Faculdade de Educação Física
CO,Centro Olímpico
FUP,Faculdade de Planaltina
FM,Faculdade de Medicina
FS,Faculdade de Ciências da Saúde
FAR,Departamento de Farmácia
ODT,Departamento de Odontologia
DSC,Departamento de Saúde Coletiva
ENF,Departamento de Enfermagem
NUT,Departamento de Nutrição
FT,Faculdade de Tecnologia
EPR,Departamento de Engenharia de Produção
EFL,Departamento de Engenharia Florestal
ENC,Departamento de Engenharia Civil e Ambiental
ENE,Departamento de Engenharia Elétrica
ENM,Departamento de Engenharia Mecânica
CEFTRU,Centro de Formação de Recursos Humanos em Transportes
IB,Instituto de Ciências Biológicas
BOT,Departamento de Botânica
CEL,Departamento de Biologia Celular
CFS,Departamento de Ciências Fisiológicas
ECL,Departamento de Ecologia
FIT,Departamento de Fitopatologia
GEM,Departamento de Genética e Morfologia
ZOO,Departamento de Zoologia
CNANO,Centro de Nano Ciência e Nanobiotecnologia
CNANO,Centro de Nano Ciência e Nanobiotecnologia
CP,Centro de Primatologia
ICS,Instituto de Ciências Sociais
ELA,Departamento de Estudos Latino-Americanos
DAN,Departamento de Antropologia
SOL,Departamento de Sociologia
IdA,Instituto de Artes
CEN,Departamento de Artes Cênicas
DIN,Departamento de Desenho Industrial
MUS,Departamento de Música
VIS,Departamento de Artes Visuais
IE,Instituto de Ciências Exatas
CIC,Departamento de Ciência da Computação
EST,Departamento de Estatística
MAT,Departamento de Matemática
IF,Instituto de Física
CIF,Centro Internacional de Física
IG,Instituto de Geociências
SIS,Observatório Sismológico
ICH,Instituto de Ciências Humanas
FIL,Departamento de Filosofia
GEA,Departamento de Geografia
HIS,Departamento de História
SER,Departamento de Serviço Social
IL,Instituto de Letras
LET,Departamento de Línguas Estrangeiras e Tradução
LIP,"Departamento de Linguística, Português e Línguas Clássicas"
TEL,Departamento de Teoria Literária e Literatura
IP,Instituto de Psicologia
PST,Departamento de Psicologia Social e do Trabalho
PCL,Departamento de Psicologia Clínica
PED,Departamento de Psicologia Escolar e do Desenvolvimento
PPB,Departamento de Processos Psicológicos Básicos
CAEP,Centro de Atendimento e Estudos Psicológicos
IPOL,Instituto de Ciência Política
IQ,Instituto de Química
IREL,Instituto de Relações Internacionais